species,type,note,link
Campylobacter hominis,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02460/full
Clostridium tertium,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02461/full
Porphyromonas bennonis,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02462/full
Capnocytophaga granulosa,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02463/full
Comamonas thiooxydans*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02464/full
Neisseria sicca,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02465/full
Eikenella corrodens,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02466/full
Cardiobacterium hominis,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02467/full
Methylobacterium brachiatum*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02468/full
Methylobacterium aminovorans*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02469/full
Corynebacterium tuberculostearicum,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02470/full
Corynebacterium kroppenstedtii,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02471/full
Actinomyces naeslundii,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02472/full
Microbacterium paraoxydans,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02473/full
Microbacterium lacticum*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02474/full
Atopobium parvulum,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02475/full
Eggerthella sinensis,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02476/full
Bacillus infantis,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02477/full
Planococcus rifitoensis*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02478/full
Staphylococcus saprophyticus*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02479/full
Staphylococcus pettenkoferi,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02480/full
Staphylococcus sciuri,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02481/full
Staphylococcus lentus*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02482/full
Macrococcus caseolyticus,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02483/full
Campylobacter showae,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02484/full
Cronobacter sakazakii*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02485/full
Streptococcus pneumoniae*,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02486/full
Streptococcus suis,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02487/full
Fusobacterium nucleatum subsp.vincentii,harmful,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02488/full
